"date","day","aircraft","helicopter","tank","APC","field.artillery","MRL","military.auto","fuel.tank","drone","naval.ship","anti.aircraft.warfare","special.equipment","mobile.SRBM.system","greatest.losses.direction","vehicles.and.fuel.tanks","cruise.missiles","submarines"
"2024-12-15",1026,373,331,9551,19698,21128,1255,NA,NA,20460,28,1025,3648,NA,"",31398,2943,1
"2024-12-14",1025,373,331,9539,19666,21102,1252,NA,NA,20333,28,1023,3644,NA,"",31217,2861,1
"2024-12-13",1024,373,331,9537,19666,21078,1252,NA,NA,20280,28,1023,3642,NA,"",31177,2861,1
"2024-12-12",1023,373,331,9532,19635,21072,1252,NA,NA,20215,28,1023,3642,NA,"",31127,2861,1
"2024-12-11",1022,373,331,9526,19607,21067,1252,NA,NA,20215,28,1023,3641,NA,"",31073,2859,1
"2024-12-10",1021,373,331,9524,19587,21064,1252,NA,NA,20211,28,1023,3637,NA,"",31037,2859,1
"2024-12-09",1020,373,331,9519,19580,21061,1252,NA,NA,20197,28,1023,3636,NA,"",30989,2859,1
"2024-12-08",1019,373,331,9519,19562,21058,1252,NA,NA,20175,28,1023,3635,NA,"",30965,2857,1
"2024-12-07",1018,373,331,9514,19526,21055,1252,NA,NA,20146,28,1022,3633,NA,"",30948,2857,1
"2024-12-06",1017,373,331,9514,19509,21043,1252,NA,NA,20127,28,1020,3633,NA,"",30899,2857,1
"2024-12-05",1016,373,331,9506,19463,21023,1252,NA,NA,20081,28,1020,3630,NA,"",30843,2855,1
"2024-12-04",1015,373,331,9493,19441,21002,1252,NA,NA,20050,28,1020,3628,NA,"",30746,2855,1
"2024-12-03",1014,373,331,9486,19410,20976,1252,NA,NA,20021,28,1019,3627,NA,"",30666,2855,1
"2024-12-02",1013,373,331,9478,19388,20953,1252,NA,NA,19990,28,1019,3619,NA,"",30606,2852,1
"2024-12-01",1012,373,331,9469,19360,20923,1252,NA,NA,19907,28,1019,3619,NA,"",30507,2852,1
"2024-11-30",1011,373,331,9463,19346,20909,1252,NA,NA,19896,28,1019,3617,NA,"",30431,2851,1
"2024-11-29",1010,373,331,9458,19326,20886,1258,NA,NA,19854,28,1006,3700,NA,"",30272,2851,1
"2024-11-28",1009,373,331,9450,19293,20852,1258,NA,NA,19765,28,1005,3697,NA,"",30186,2765,1
"2024-11-27",1008,373,331,9449,19291,20830,1258,NA,NA,19720,28,1005,3687,NA,"",30126,2765,1
"2024-11-26",1007,373,331,9435,19243,20806,1257,NA,NA,19656,28,1004,3683,NA,"",30042,2765,1
"2024-11-25",1006,373,331,9429,19223,20787,1257,NA,NA,19584,28,1004,3681,NA,"",29948,2764,1
"2024-11-24",1005,373,331,9423,19196,20765,1257,NA,NA,19470,28,1004,3679,NA,"",29864,2764,1
"2024-11-23",1004,373,331,9419,19179,20760,1257,NA,NA,19469,28,1004,3678,NA,"",29850,2764,1
"2024-11-22",1003,373,331,9399,19143,20736,1257,NA,NA,19364,28,1004,3675,NA,"",29777,2764,1
"2024-11-21",1002,373,331,9398,19130,20731,1256,NA,NA,19363,28,1003,3674,NA,"",29745,2756,1
"2024-11-20",1001,373,331,9390,19106,20681,1255,NA,NA,19306,28,1001,3674,NA,"",29648,2756,1
"2024-11-19",1000,373,331,9382,19079,20632,1255,NA,NA,19215,28,999,3672,NA,"",29548,2754,1
"2024-11-18",999,373,331,9365,19046,20586,1255,NA,NA,19177,28,999,3655,NA,"",29428,2753,1
"2024-11-17",998,373,331,9350,19008,20556,1255,NA,NA,19078,28,999,3653,NA,"",29321,2641,1
"2024-11-16",997,373,331,9338,18981,20520,1255,NA,NA,19018,28,999,3651,NA,"",29236,2641,1
"2024-11-15",996,373,331,9330,18955,20492,1255,NA,NA,18990,28,999,3645,NA,"",29167,2641,1
"2024-11-14",995,373,331,9319,18934,20472,1255,NA,NA,18956,28,997,3629,NA,"",29090,2640,1
"2024-11-13",994,373,331,9300,18883,20408,1252,NA,NA,18902,28,996,3629,NA,"",28966,2636,1
"2024-11-12",993,373,331,9276,18834,20352,1252,NA,NA,18841,28,996,3626,NA,"",28870,2636,1
"2024-11-11",992,373,331,9253,18753,20314,1248,NA,NA,18780,28,996,3620,NA,"",28802,2636,1
"2024-11-10",991,373,331,9249,18713,20280,1248,NA,NA,18723,28,996,3604,NA,"",28683,2634,1
"2024-11-09",990,373,331,9238,18684,20249,1248,NA,NA,18679,28,996,3604,NA,"",28561,2634,1
"2024-11-08",989,373,331,9233,18648,20226,1248,NA,NA,18630,28,996,3602,NA,"",28495,2631,1
"2024-11-07",988,373,331,9224,18599,20194,1248,NA,NA,18512,28,996,3596,NA,"",28411,2631,1
"2024-11-06",987,373,331,9214,18579,20170,1248,NA,NA,18470,28,996,3588,NA,"",28333,2631,1
"2024-11-05",986,373,331,9208,18568,20150,1248,NA,NA,18413,28,996,3587,NA,"",28278,2631,1
"2024-11-04",985,373,331,9193,18525,20121,1248,NA,NA,18384,28,994,3587,NA,"",28237,2629,1
"2024-11-03",984,373,331,9182,18510,20086,1247,NA,NA,18291,28,994,3584,NA,"",28160,2629,1
"2024-11-02",983,373,331,9170,18474,20076,1247,NA,NA,18221,28,994,3583,NA,"",28114,2628,1
"2024-11-01",982,373,331,9162,18457,20039,1247,NA,NA,18191,28,994,3579,NA,"",28028,2628,1
"2024-10-31",981,373,331,9156,18437,20013,1246,NA,NA,18166,28,994,3570,NA,"",27961,2627,1
"2024-10-30",980,373,331,9137,18420,19955,1245,NA,NA,18082,28,986,3567,NA,"",27840,2625,1
"2024-10-29",979,373,331,9129,18391,19917,1244,NA,NA,18042,28,984,3566,NA,"",27749,2625,1
"2024-10-28",978,373,331,9120,18382,19872,1243,NA,NA,17970,28,984,3556,NA,"",27660,2625,1
"2024-10-27",977,373,331,9113,18342,19821,1243,NA,NA,17902,28,984,3542,NA,"",27560,2625,1
"2024-10-26",976,373,331,9109,18319,19782,1243,NA,NA,17829,28,984,3541,NA,"",27460,2625,1
"2024-10-25",975,373,331,9097,18274,19753,1241,NA,NA,17773,28,982,3535,NA,"",27365,2625,1
"2024-10-24",974,373,331,9090,18241,19719,1239,NA,NA,17700,28,981,3513,NA,"",27286,2625,1
"2024-10-23",973,373,331,9088,18216,19674,1237,NA,NA,17592,28,981,3509,NA,"",27217,2625,1
"2024-10-22",972,373,331,9079,18186,19623,1237,NA,NA,17507,28,981,3499,NA,"",27111,2625,1
"2024-10-21",971,373,331,9071,18162,19589,1235,NA,NA,17436,28,979,3479,NA,"",27034,2624,1
"2024-10-20",970,373,331,9047,18098,19565,1235,NA,NA,17390,28,978,3476,NA,"",26987,2624,1
"2024-10-19",969,373,331,9035,18059,19548,1235,NA,NA,17333,28,978,3473,NA,"",26946,2623,1
"2024-10-18",968,373,331,9027,18040,19533,1235,NA,NA,17255,28,978,3448,NA,"",26908,2620,1
"2024-10-17",967,373,331,9014,17989,19510,1235,NA,NA,17207,28,978,3446,NA,"",26815,2620,1
"2024-10-16",966,373,331,8997,17956,19459,1234,NA,NA,17153,28,978,3441,NA,"",26732,2620,1
"2024-10-15",965,373,331,8988,17926,19430,1234,NA,NA,17122,28,978,3441,NA,"",26654,2620,1
"2024-10-14",964,373,331,8975,17882,19421,1234,NA,NA,17112,28,978,3437,NA,"",26622,2619,1
"2024-10-13",963,373,331,8971,17863,19410,1234,NA,NA,17095,28,978,3435,NA,"",26584,2619,1
"2024-10-12",962,373,331,8962,17814,19381,1233,NA,NA,17050,28,976,3434,NA,"",26513,2619,1
"2024-10-11",961,373,331,8953,17787,19322,1232,NA,NA,16940,28,976,3396,NA,"",26398,2619,1
"2024-10-10",960,373,330,8945,17752,19263,1228,NA,NA,16870,28,976,3386,NA,"",26314,2619,1
"2024-10-09",959,373,330,8944,17738,19222,1226,NA,NA,16821,28,973,3385,NA,"",26240,2618,1
"2024-10-08",958,371,330,8940,17727,19203,1226,NA,NA,16788,28,973,3373,NA,"",26185,2618,1
"2024-10-07",957,371,330,8933,17697,19156,1226,NA,NA,16745,28,972,3364,NA,"",26102,2615,1
"2024-10-06",956,371,330,8919,17666,19092,1219,NA,NA,16680,28,970,3363,NA,"",26006,2613,1
"2024-10-05",955,371,330,8916,17645,19037,1219,NA,NA,16631,28,970,3344,NA,"",25905,2613,1
"2024-10-04",954,371,330,8908,17614,18965,1215,NA,NA,16596,28,965,3333,NA,"",25820,2613,1
"2024-10-03",953,371,330,8893,17583,18906,1207,NA,NA,16495,28,964,3330,NA,"",25750,2613,1
"2024-10-02",952,373,330,8887,17566,18869,1207,NA,NA,16448,28,963,3318,NA,"",25692,2613,1
"2024-10-01",951,373,330,8883,17534,18855,1207,NA,NA,16422,28,963,3314,NA,"",25621,2613,1
"2024-09-30",950,373,330,8874,17490,18822,1207,NA,NA,16324,28,963,3313,NA,"",25548,2610,1
"2024-09-29",949,373,330,8869,17463,18795,1207,NA,NA,16286,28,962,3297,NA,"",25495,2610,1
"2024-09-28",948,373,330,8860,17425,18733,1206,NA,NA,16193,28,961,3291,NA,"",25411,2610,1
"2024-09-27",947,373,330,8846,17383,18678,1202,NA,NA,16131,28,961,3192,NA,"",25411,2608,1
"2024-09-26",946,373,330,8825,17331,18620,1202,NA,NA,16046,28,959,3190,NA,"",25353,2599,1
"2024-09-25",945,373,330,8815,17291,18549,1202,NA,NA,15979,28,952,3168,NA,"",25248,2595,1
"2024-09-24",944,373,330,8800,17279,18475,1201,NA,NA,15864,28,952,3155,NA,"",25175,2595,1
"2024-09-23",943,373,330,8784,17239,18414,1200,NA,NA,15799,28,949,3145,NA,"",25102,2595,1
"2024-09-22",942,373,330,8768,17209,18333,1198,NA,NA,15728,28,949,3144,NA,"",25023,2595,1
"2024-09-21",941,373,330,8746,17157,18270,1196,NA,NA,15661,28,949,3125,NA,"",24966,2593,1
"2024-09-20",940,373,330,8725,17119,18212,1192,NA,NA,15569,28,949,3115,NA,"",24898,2593,1
"2024-09-19",939,373,330,8705,17080,18177,1192,NA,NA,15517,28,947,3109,NA,"",24839,2592,1
"2024-09-18",938,373,330,8691,17067,18154,1191,NA,NA,15454,28,947,3109,NA,"",24784,2592,1
"2024-09-17",937,373,330,8685,17064,18129,1191,NA,NA,15429,28,947,3091,NA,"",24739,2592,1
"2024-09-16",936,373,330,8683,17058,18123,1190,NA,NA,15363,28,947,3090,NA,"",24712,2592,1
"2024-09-15",935,373,330,8680,17050,18109,1189,NA,NA,15334,28,947,3084,NA,"",24684,2592,1
"2024-09-14",934,373,330,8674,17030,18086,1189,NA,NA,15249,28,946,3084,NA,"",24631,2591,1
"2024-09-13",933,373,330,8671,16990,18061,1188,NA,NA,15213,28,945,3071,NA,"",24560,2591,1
"2024-09-12",932,373,330,8653,16942,18009,1187,NA,NA,15133,28,945,3061,NA,"",24481,2591,1
"2024-09-11",931,372,330,8642,16925,17936,1185,NA,NA,15090,28,943,3059,NA,"",24388,2591,1
"2024-09-10",930,372,330,8640,16912,17880,1183,NA,NA,15033,28,942,3053,NA,"",24330,2591,1
"2024-09-09",929,372,330,8639,16893,17830,1183,NA,NA,14997,28,942,3049,NA,"",24262,2588,1
"2024-09-08",928,372,330,8636,16884,17804,1183,NA,NA,14964,28,942,3047,NA,"",24218,2588,1
"2024-09-07",927,372,330,8632,16865,17774,1181,NA,NA,14884,28,942,3037,NA,"",24171,2588,1
"2024-09-06",926,372,330,8631,16865,17745,1181,NA,NA,14832,28,941,3037,NA,"",24116,2587,1
"2024-09-05",925,372,330,8624,16856,17725,1180,NA,NA,14758,28,940,3024,NA,"",24044,2587,1
"2024-09-04",924,372,330,8618,16835,17694,1180,NA,NA,14716,28,940,3014,NA,"",24007,2580,1
"2024-09-03",923,372,330,8611,16808,17664,1180,NA,NA,14673,28,940,3002,NA,"",23972,2578,1
"2024-09-02",922,372,330,8601,16773,17646,1180,NA,NA,14637,28,940,2993,NA,"",23925,2557,1
"2024-09-01",921,372,330,8592,16747,17636,1179,NA,NA,14607,28,940,2991,NA,"",23881,2557,1
"2024-08-31",920,372,330,8582,16723,17614,1179,NA,NA,14571,28,940,2977,NA,"",23825,2557,1
"2024-08-30",919,372,330,8574,16709,17572,1178,NA,NA,14553,28,940,2967,NA,"",23763,2556,1
"2024-08-29",918,372,330,8571,16686,17549,1177,NA,NA,14469,28,939,2965,NA,"",23706,2556,1
"2024-08-28",917,372,330,8568,16668,17522,1177,NA,NA,14448,28,938,2950,NA,"",23654,2553,1
"2024-08-27",916,371,330,8563,16654,17495,1176,NA,NA,14354,28,937,2944,NA,"",23613,2547,1
"2024-08-26",915,371,330,8551,16635,17443,1175,NA,NA,14234,28,937,2941,NA,"",23555,2444,1
"2024-08-25",914,371,330,8547,16618,17396,1174,NA,NA,14195,28,936,2928,NA,"",23475,2444,1
"2024-08-24",913,371,330,8542,16607,17349,1172,NA,NA,14164,28,935,2911,NA,"",23383,2444,1
"2024-08-23",912,371,330,8533,16586,17307,1170,NA,NA,14125,28,932,2910,NA,"",23329,2442,1
"2024-08-22",911,371,330,8529,16554,17262,1169,NA,NA,14098,28,931,2904,NA,"",23280,2442,1
"2024-08-21",910,371,330,8522,16529,17216,1169,NA,NA,14002,28,928,2887,NA,"",23221,2442,1
"2024-08-20",909,371,330,8518,16508,17156,1169,NA,NA,13964,28,926,2885,NA,"",23142,2438,1
"2024-08-19",908,371,330,8513,16482,17104,1168,NA,NA,13909,28,925,2863,NA,"",23047,2437,1
"2024-08-18",907,371,330,8508,16467,17056,1164,NA,NA,13852,28,923,2846,NA,"",22992,2432,1
"2024-08-17",906,371,330,8501,16460,16985,1163,NA,NA,13814,28,923,2844,NA,"",22913,2432,1
"2024-08-16",905,371,330,8496,16448,16927,1162,NA,NA,13759,28,922,2829,NA,"",22848,2429,1
"2024-08-15",904,371,330,8484,16413,16868,1157,NA,NA,13698,28,922,2813,NA,"",22775,2428,1
"2024-08-14",903,370,330,8476,16389,16821,1154,NA,NA,13648,28,921,2813,NA,"",22710,2426,1
"2024-08-13",902,370,330,8455,16372,16764,1149,NA,NA,13591,28,920,2806,NA,"",22649,2426,1
"2024-08-12",901,370,330,8450,16355,16728,1149,NA,NA,13572,28,919,2801,NA,"",22590,2426,1
"2024-08-11",900,370,330,8447,16350,16663,1146,NA,NA,13499,28,918,2800,NA,"",22524,2425,1
"2024-08-10",899,370,329,8441,16337,16605,1146,NA,NA,13472,28,918,2789,NA,"",22453,2425,1
"2024-08-09",898,370,329,8434,16328,16536,1145,NA,NA,13425,28,916,2769,NA,"",22371,2424,1
"2024-08-08",897,370,329,8431,16319,16487,1145,NA,NA,13393,28,914,2767,NA,"",22285,2424,1
"2024-08-07",896,369,328,8429,16310,16451,1141,NA,NA,13312,28,910,2759,NA,"",22226,2421,1
"2024-08-06",895,369,328,8421,16281,16384,1141,NA,NA,13258,28,910,2738,NA,"",22148,2420,1
"2024-08-05",894,369,328,8417,16273,16345,1141,NA,NA,13222,28,910,2737,NA,"",22094,2414,1
"2024-08-04",893,365,328,8411,16242,16276,1141,NA,NA,13208,28,911,2734,NA,"",22006,2412,1
"2024-08-03",892,365,328,8406,16225,16217,1138,NA,NA,13162,28,908,2723,NA,"",21926,2410,1
"2024-08-02",891,365,328,8402,16198,16161,1137,NA,NA,13110,28,907,2719,NA,"",21872,2407,1
"2024-08-01",890,365,328,8399,16190,16119,1135,NA,NA,13073,28,907,2713,NA,"",21816,2407,1
"2024-07-31",889,365,328,8390,16148,16086,1134,NA,NA,12958,28,907,2697,NA,"",21739,2407,1
"2024-07-30",888,365,328,8381,16128,16056,1133,NA,NA,12937,28,906,2696,NA,"",21687,2406,1
"2024-07-29",887,365,328,8356,16090,16010,1132,NA,NA,12910,28,906,2690,NA,"",21634,2406,1
"2024-07-28",886,365,328,8344,16082,15936,1130,NA,NA,12871,28,906,2671,NA,"",21572,2405,1
"2024-07-27",885,365,328,8331,16061,15885,1128,NA,NA,12841,28,905,2671,NA,"",21500,2403,1
"2024-07-26",884,365,328,8320,16037,15840,1128,NA,NA,12788,28,904,2668,NA,"",21414,2402,1
"2024-07-25",883,365,328,8313,16026,15804,1128,NA,NA,12715,28,904,2661,NA,"",21358,2402,1
"2024-07-24",882,365,328,8302,16000,15759,1128,NA,NA,12649,28,902,2650,NA,"",21279,2402,1
"2024-07-23",881,364,328,8288,15987,15694,1128,NA,NA,12616,28,901,2640,NA,"",21202,2401,1
"2024-07-22",880,364,328,8284,15967,15637,1126,NA,NA,12580,28,900,2637,NA,"",21138,2401,1
"2024-07-21",879,364,328,8266,15950,15586,1124,NA,NA,12507,28,896,2616,NA,"",21036,2401,1
"2024-07-20",878,364,328,8257,15904,15542,1124,NA,NA,12455,28,895,2607,NA,"",20968,2401,1
"2024-07-19",877,363,328,8250,15889,15520,1123,NA,NA,12421,28,894,2593,NA,"",20909,2401,1
"2024-07-18",876,363,328,8245,15870,15465,1123,NA,NA,12379,28,893,2593,NA,"",20833,2398,1
"2024-07-17",875,363,328,8238,15858,15411,1123,NA,NA,12329,28,893,2586,NA,"",20741,2398,1
"2024-07-16",874,363,328,8227,15849,15368,1122,NA,NA,12298,28,892,2577,NA,"",20680,2398,1
"2024-07-15",873,363,328,8214,15813,15324,1122,NA,NA,12253,28,892,2569,NA,"",20623,2398,1
"2024-07-14",872,363,328,8206,15798,15262,1122,NA,NA,12214,28,890,2566,NA,"",20538,2397,1
"2024-07-13",871,363,328,8199,15766,15216,1122,NA,NA,12175,28,889,2556,NA,"",20461,2397,1
"2024-07-12",870,363,328,8191,15742,15158,1122,NA,NA,12141,28,888,2543,NA,"",20409,2397,1
"2024-07-11",869,363,328,8182,15719,15110,1122,NA,NA,12115,28,886,2535,NA,"",20325,2392,1
"2024-07-10",868,363,328,8180,15702,15051,1118,NA,NA,12079,28,883,2531,NA,"",20269,2389,1
"2024-07-09",867,363,328,8178,15691,15015,1118,NA,NA,12028,28,880,2516,NA,"",20212,2389,1
"2024-07-08",866,363,328,8171,15672,14966,1118,NA,NA,11999,28,880,2503,NA,"",20150,2353,1
"2024-07-07",865,362,328,8155,15632,14937,1118,NA,NA,11968,28,879,2495,NA,"",20103,2352,1
"2024-07-06",864,362,328,8153,15616,14897,1118,NA,NA,11915,28,878,2479,NA,"",20053,2351,1
"2024-07-05",863,362,328,8142,15598,14831,1118,NA,NA,11863,28,878,2473,NA,"",19977,2342,1
"2024-07-04",862,362,328,8132,15587,14777,1118,NA,NA,11800,28,878,2468,NA,"",19923,2342,1
"2024-07-03",861,362,328,8123,15570,14712,1118,NA,NA,11774,28,876,2464,NA,"",19850,2336,1
"2024-07-02",860,362,328,8107,15553,14655,1117,NA,NA,11747,28,874,2452,NA,"",19787,2335,1
"2024-07-01",859,362,328,8099,15537,14599,1114,NA,NA,11726,28,874,2448,NA,"",19713,2333,1
"2024-06-30",858,362,328,8080,15511,14533,1113,NA,NA,11690,28,873,2448,NA,"",19643,2331,1
"2024-06-29",857,362,328,8073,15492,14480,1112,NA,NA,11644,28,871,2436,NA,"",19568,2331,1
"2024-06-28",856,362,328,8066,15467,14423,1112,NA,NA,11615,28,871,2431,NA,"",19514,2329,1
"2024-06-27",855,361,328,8042,15446,14363,1111,NA,NA,11565,28,868,2420,NA,"",19468,2324,1
"2024-06-26",854,361,328,8039,15437,14321,1111,NA,NA,11541,28,863,2409,NA,"",19407,2324,1
"2024-06-25",853,361,328,8035,15418,14281,1111,NA,NA,11519,28,863,2403,NA,"",19362,2324,1
"2024-06-24",852,361,328,8031,15400,14246,1111,NA,NA,11488,28,863,2397,NA,"",19304,2323,1
"2024-06-23",851,361,328,8019,15385,14195,1111,NA,NA,11461,28,863,2377,NA,"",19248,2321,1
"2024-06-22",850,361,328,8009,15370,14134,1109,NA,NA,11411,28,861,2369,NA,"",19204,2302,1
"2024-06-21",849,361,328,8001,15359,14106,1109,NA,NA,11336,28,861,2367,NA,"",19181,2298,1
"2024-06-20",848,361,328,7987,15324,14052,1108,NA,NA,11336,28,859,2357,NA,"",19134,2298,1
"2024-06-19",847,361,328,7984,15306,14007,1107,NA,NA,11297,28,857,2351,NA,"",19078,2297,1
"2024-06-18",846,361,328,7974,15294,13959,1107,NA,NA,11263,28,853,2344,NA,"",19031,2297,1
"2024-06-17",845,361,328,7958,15274,13927,1107,NA,NA,11243,28,853,2337,NA,"",18991,2296,1
"2024-06-16",844,361,328,7956,15256,13913,1107,NA,NA,11235,28,853,2325,NA,"",18967,2296,1
"2024-06-15",843,361,328,7956,15250,13855,1106,NA,NA,11224,28,853,2322,NA,"",18911,2293,1
"2024-06-14",842,361,328,7936,15221,13818,1104,NA,NA,11173,28,849,2310,NA,"",18854,2286,1
"2024-06-13",841,361,328,7928,15195,13770,1102,NA,NA,11151,28,846,2294,NA,"",18794,2285,1
"2024-06-12",840,361,328,7911,15174,13736,1102,NA,NA,11118,28,844,2290,NA,"",18736,2280,1
"2024-06-11",839,361,328,7902,15163,13690,1102,NA,NA,11099,28,842,2288,NA,"",18676,2278,1
"2024-06-10",838,360,328,7879,15131,13644,1101,NA,NA,11086,28,837,2267,NA,"",18618,2278,1
"2024-06-09",837,359,328,7869,15118,13593,1100,NA,NA,11058,28,836,2253,NA,"",18562,2277,1
"2024-06-08",836,359,328,7843,15092,13533,1098,NA,NA,11021,28,834,2248,NA,"",18484,2277,1
"2024-06-07",835,359,328,7834,15083,13497,1098,NA,NA,10962,28,833,2238,NA,"",18416,2270,1
"2024-06-06",834,359,328,7828,15063,13433,1098,NA,NA,10922,27,831,2230,NA,"",18360,2270,1
"2024-06-05",833,359,328,7806,15023,13385,1095,NA,NA,10881,27,830,2223,NA,"",18297,2270,1
"2024-06-04",832,359,328,7794,15007,13345,1095,NA,NA,10842,27,827,2211,NA,"",18228,2268,1
"2024-06-03",831,359,328,7779,14989,13280,1093,NA,NA,10815,27,824,2199,NA,"",18159,2268,1
"2024-06-02",830,359,328,7765,14967,13233,1092,NA,NA,10775,27,821,2195,NA,"",18092,2268,1
