Title,Salary,Location,Employment_Type,
Account Manager до Kyїfornia,,,Full-Time,
Фахівець з аналізу виробничих процесів до BAT,,Прилуки (Україна),Full-Time,
Marketer (Маркетолог) до Creative States,40000–50 000 грн / міс,Київ (Україна),Full-Time,
Business Analyst at DAI Global LLC,,"Київ, Львів (Україна)",Full-Time,
Бізнес-аналітик до ОККО,,Львів (Україна),Full-Time,
Координатор/-ка європейських проєктів до ГО «Інтерньюз-Україна»,,Київ (Україна),Full-Time,
Проєктний менеджер / Проєктна менеджерка до BRAND UKRAINE,,Київ (Україна),Full-Time,
Координатор/-ка проєктів до ГО «Інтерньюз–Україна»,,Київ (Україна),Full-Time,
"Event manager, менеджер з туризму, турлідер до bodotravel",45000–60000 грн / міс,Київ (Україна),Full-Time,
"Program Officer at Pact, Inc. USAID/Ukraine PHS R&R Activity",,Київ,Full-Time,
Спеціаліст зі звітності/Аналітика до ГО «КримСОС»,,Київ (Україна),Full-Time,
Заступник/заступниця керівника навчального центру (осередку) до Української академії лідерства,,"Київ, Ужгород",Full-Time,
Керівник/керівниця програмного департаменту до Української академії лідерства,,Київ (Україна),Full-Time,
Project Manager for Creative Team at Fedoriv Agency,,Київ (Україна),Full-Time,
Керівник/-ця проєкту до Української академії лідерства,,Київ (Україна),Full-Time,
Контент-менеджер до Admix Global,,,Full-Time,
Аналітик комп'ютерних систем (SAP) до ОККО,,Львів (Україна),Full-Time,
Бізнес-аналітик 1С до ОККО,,Львів (Україна),Full-Time,
"Senior ABAP, Team Lead до ОККО",,Львів (Україна),Full-Time,
Менеджер digital-проєктів до ОККО,,Львів (Україна),Full-Time,
Бізнес-аналітик (автоматизовані системи управління) до ОККО,,Львів (Україна),Full-Time,
Senior Graphic Designer до Performer,,Київ (Україна),Full-Time,
Project Manager at NineTwoThree Studio,,,,
UI/UX Designer (E-commerce) до BetterMe,,,Full-Time,
Brand Designer до BetterMe,,Київ (Україна),Full-Time,
Менеджер проєктів до Prometheus,,,Full-Time,
Аналітик(-иня) до Повернись живим,,Київ (Україна),Full-Time,
Менеджер проєктів до Klitschko Foundation,,Київ (Україна),Full-Time,
Product Designer до Мрія,,Київ (Україна),Full-Time,
Program Assistant to UNITY/Асистент(-ка) програми до IREX,,Київ (Україна),Full-Time,
Project Manager до IdeaInYou,,,Full-Time,
Графічний дизайнер до Фонду Сергія Притули,$25000–30000 / міс,Київ (Україна),Full-Time,
SQL розробник до Vitmark,,Одеса (Україна),,
Finance Ninja at Waveup,,Київ (Україна),Full-Time,
Молодший проектний менеджер(ка) до Східноукраїнського центру громадських ініціатив,,Київ (Україна),Full-Time,
Маркетолог до SOLVE MARKETING,30000–40000 грн / міс,,"Full-Time, Part-Time",
SEO Content Lead at Ideals,,,Full-Time,
Координатор/координаторка проєкту до Громадської організації «Всеукраїнський громадський центр «Волонтер»,,Харків (Україна),Full-Time,
Project Manager до Okay Monday Agency,,,Full-Time,
Координатор/ка Рад ВПО до Благодійної організації «Благодійний фонд «Стабілізейшен суппорт сервісез»,,,Full-Time,
Product Analyst Lead at CLUST,,,Full-Time,
SEO Manager at Cloudfresh,,,Full-Time,
"SMM маркетолог (інстаграм, тікток +) до SIL’",15000 грн / міс,Київ (Україна),Full-Time,
Motion Designer до Impulse,,Київ (Україна),Full-Time,
Middle/Senior Product Manager до Universe Group,,Київ (Україна),Full-Time,
Business Development Manager до A-Players,,,Full-Time,
Редактор/ка соцмереж до «Новин здорової людини» | The Ukrainians Media,,Львів (Україна),Full-Time,
Senior CRM Specialist до Uklon,,Київ (Україна),Full-Time,
Технічний експерт із супроводження закупівель IT-категорій до ДУ “Професійні закупівлі”,,Київ (Україна),"Full-Time, Part-Time",
Digital Marketing Specialist до BetterMe,,Київ (Україна),Full-Time,
"Associate (case worker, analyst, writer) at KOSMO",$800–2000 / міс,,Full-Time,
Project Advisor at Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),,Київ (Україна),Full-Time,
Project спеціаліст до UA Mental Help,,,Full-Time,
Асистент/ка проєктного менеджера до RePower Ukraine Foundation,20000–25000 грн / міс,Київ (Україна),Full-Time,
Cпівдослідник по Participatory Action Research (PAR) до WFD,,"Інше Місто, Київ (Україна)",Part-Time,
Менеджер по роботі з сайтами-партнерами (німецька мова) до Jooble,,Київ (Україна),Full-Time,
Project Associate (Адміністративний помічник проєктів) до CRDF GLOBAL,,Київ (Україна),Full-Time,
Project Lead (Консультант з впровадження проєктів) до CRDF GLOBAL,,Київ (Україна),Full-Time,
Менеджер/ка перформативних проєктів до Jam Factory Art Center,,Львів (Ukraine),Full-Time,
Grant Associate (Фахівець з управління грантами) до CRDF GLOBAL,,Київ (Україна),Full-Time,
Project Associate (Адміністративний помічник проєктів) до CRDF GLOBAL,,Київ (Україна),Full-Time,
Project Manager до PwC,,,Full-Time,
Графічний дизайнер до PwC,,,Full-Time,
"Контент-мейкер, SMM-менеджер (-ка) до Антикорупційного центру “МЕЖА”",,Київ (Україна),Full-Time,
Менеджер проєктів кліматичного напряму до Глобального договору ООН в Україні,,Київ (Україна),Full-Time,
Creative Designer (Marketing Team) до Laba Global,,Київ (Україна),Full-Time,
"SMM-спеціаліст до ГО ""Обʼєднання родичів політвʼязнів Кремля""",,,"Full-Time, Part-Time, Internship",
Project Manager at Techosystem,,Київ (Україна),Full-Time,
IT Project Manager at Deloitte Consulting Overseas Projects LLC for USAID SOERA,,Київ (Україна),Full-Time,
Cybersecurity Project Manager at Deloitte Consulting Overseas Projects LLC for USAID SOERA,,Київ (Україна),Full-Time,
Business Analyst at Deloitte Consulting Overseas Projects LLC for USAID SOERA,,Київ (Україна),Full-Time,
"Rehabilitation in healthcare coordinator, National Consultant at World Health Organization",169800 грн / міс,Київ (Україна),Full-Time,
Координатор(-ка) проєктів з документування воєнних злочинів до Освітнього дому прав людини - Чернігів,,Чернігів (Україна),,
Digital analyst до MEGOGO,,Київ (Україна),Full-Time,
Бізнес аналітик до Enkonix,,Lisbon (Португалія),Full-Time,
"Заступник/ця національного директора (Deputy National Director) до БФ ""СОС Дитячі Містечка""",,Київ (Україна),Full-Time,
Координатор/ка проєкту до БФ СОС Дитячі Містечка,,Полтава (Україна),Full-Time,
Старший фахівець з розвитку продуктів (Product manager) до Київстар,,Київ (Україна),Full-Time,
IT Manager – Operations & Services до BAT Україна,,Київ (Україна),Full-Time,
Junior Business Analyst (Account Management team) до Solidgate,,Київ (Україна),Full-Time,
Менеджер з клієнтського досвіду / Customer Experience Manager до Групи «Ковальська»,,Київ (Україна),Full-Time,
Master Data Specialist (German-speaking) до BPO Nextdoor,33000–51000 грн / міс,,Full-Time,
Молодший аналітик з Digital-ризиків до EY,,Київ (Україна),Full-Time,
3D Artist до BetterMe,,Київ (Україна),Full-Time,
Асистент/ка регіонального координатора до СпівДія,,,Full-Time,
"Дизайнер\ка в БО БФ ""ГЛОБА22""",,Дніпро (Україна),"Full-Time, Part-Time",
Graphic Designer до BetterMe,,,Full-Time,
Координатор проєктів (Small grant business and Passive warming) до Nova Ukraine,,,Full-Time,
Менеджер/ка проєктів до Ukrainian Humanitarian Fund,,Київ (Україна),Full-Time,
Координатор/ка гуманітарних місій до Fight For Right,24000–30000 грн / міс,Запорiжжя (Україна),Full-Time,
Графічний дизайнер до KLO,,Київ (Україна),Full-Time,
Надавач\-ка дизайнерських послуг до НДІ,,Київ (Україна),Full-Time,
Надавач\-ка консультаційних послуг до НДІ,,Київ (Україна),Full-Time,
Base Coordinator at Terre des hommes,,Харків (Україна),Full-Time,
Content Manager at Axon,,Київ (Україна),Full-Time,
Копірайтер (Kyivstar Business Hub) до Kyivstar.Tech,,,Full-Time,
Graphic Designer до Dodo Socks ,25 000–30 000 грн / міс,Львів (Україна),Full-Time,
Data/BI Engineer до Mercy Corps,,"Дніпро, Київ, Львів (Україна)",Full-Time,
IT assistant / Системний адміністратор at Estonian Refugee Council,,Київ (Україна),Part-Time,
Junior SEO-specialist до BexAuto,20000–35000 грн / міс,Одеса (Україна),Full-Time,
Графічний дизайнер до MEGOGO BOOKS,,Київ (Україна),Full-Time,
Full-stack developer до PwC,,Львів (Україна),Full-Time,
Senior Graphic Designer до Postmen,,Київ (Україна),Full-Time,
Brand Strategist at Volta Buro,,Київ (Україна),Full-Time,
Creative Copywriter до Adera Agency,,Київ (Україна),Full-Time,
Creative Copywriter at Volta Buro,,Київ (Україна),Full-Time,
Art Director at Volta Buro,,Київ (Україна),Full-Time,
Аналітик/аналітикиня до VoxCheck,,Київ (Україна),Full-Time,
SEO specialist до Locomotive Media Group,,Київ (Україна),Full-Time,
Аналітик/Аналітикиня до Лабораторії законодавчих ініціатив,,Київ (Україна),,
Growth Lead | User Acquisition Manager до Мрія,,Київ (Україна),Full-Time,
Senior Project Manager (Civic Education) до IFES,,Київ (Україна),Full-Time,
Національний координатор для проєкту з розвитку жіночого підприємництва до Центру “Розвиток КСВ”,40000–50000 грн / міс,Київ (Україна),Full-Time,
Product Marketing Manager (Content department) до MEGOGO,,Київ (Україна),Full-Time,
Продюсер освітніх проєктів до robot_dreams,,,Full-Time,
Провідний IT-експерт (BAS) / IT-Expert до Міжнародного благодійного фонду «Карітас України»,,,Full-Time,
Security Risk Management - Analyst at Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),,Київ (Україна),Full-Time,
SMM-дизайнер до Дія,,Київ (Україна),Full-Time,
Графічний дизайнер (MIDDLE) для digital-проєктів до Reborn.agency,30000–45000 грн / міс,Київ (Україна),Full-Time,
Аналітик/иня-дослідник/ця до Big City Lab,,Київ (Україна),Full-Time,
Координатор(-ка) з підтримки вразливих сімей під час зимових викликів до ГС “Українська мережа за права дитини”,,,Full-Time,
Менеджер(-ка) із забезпечення якості та акредитації до KSE,,Київ (Україна),Full-Time,
Junior Creative Specialist до BetterMe,,,Full-Time,
Project Manager (District Heating) at Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ),,Київ (Україна),Full-Time,
User Acquisition Specialist до Talefy,$1000–2000 / міс,,Full-Time,
"SMM-менеджер\ка (контент-мейкер\ка) до БО БФ ""ГЛОБА22""",,Дніпро (Україна),"Full-Time, Part-Time",
Старший фахівець (-чиня) по роботі з корпоративними партнерами та міжнародними організаціями до БФ «Таблеточки»,,Київ (Україна),Full-Time,
Program Officer at Ukraine Veterans Reintegration and Rehabilitation Program / Програмний фахівець (-чиня) до Програми реінтеграції та реабілітації ветеранів України до IREX,,Київ (Україна),Full-Time,
Project Manager (STEM Book Publishing) at Nova Ukraine,,,Full-Time,
Проєктний/а координатор/ка до БО «Благодійний фонд «Стабілізейшен суппорт сервісез»,,,Full-Time,
Регіональний/а координатор/ка до БО «Благодійний фонд «Стабілізейшен суппорт сервісез»,,Київ (Україна),Full-Time,
Product Manager до NETRONIC,,Київ (Україна),Full-Time,
Project Manager до NETRONIC,,Київ (Україна),Full-Time,
Координатор/ка освітнього курсу до ГО «Кожна Тварина»,,Київ (Україна),Full-Time,
Content Manager до Прозорро.Продажі,,Київ (Україна),,
Проектний менеджер до Міжнародного благодійного фонду «Карітас України»,,Львів (Україна),Full-Time,
Program Coordinator at IREX,,Київ (Україна),Full-Time,
Partnership & Business Development Manager at Roosh Circle,,,Full-Time,
Програмний менеджер до Благодійного Фонду «Деполь Україна»,50000–55000 грн / міс,Київ (Україна),Full-Time,
Project Manager до Victor Pinchuk Foundation,,Київ (Україна),Full-Time,
Асистент контент-менеджера до Eat Me At,,Київ (Україна),Full-Time,
Регіональний/а координатор/ка до Благодійної організації «Благодійний фонд «Стабілізейшен суппорт сервісез»,,Київ (Україна),Part-Time,
Технічний Директор Проекту з Охорони Психічного Здоров'я в України до International Medical Corps,,Київ (Україна),Full-Time,
Дизайнер (-ка) до БФ «Клуб Добродіїв»,,,Full-Time,
Project Manager до Moko Digital agency,,Київ (Україна),Full-Time,
Заступник Керівника Проекту з Охорони Психічного Здоров'я в України до International Medical Corps,,Київ (Україна),Full-Time,
Директор програми Відновлення доступу населення до медичної допомоги до International Medical Corps,,Київ (Україна),Full-Time,
Старший адміністратор системного програмного забезпечення до Zagoriy Foundation,,Київ (Україна),Full-Time,
Координатор (-ка) проєкту #Щедрий Вівторок до Zagoriy Foundation,,Київ (Україна),Full-Time,
Head of Project Management Office (humanitarian projects) до ТЧХУ,,Київ (Україна),Full-Time,
Strategic Analyst до Uklon,,Київ (Україна),Full-Time,
"Data Officer, USAID/Ukraine PHS R&R Activity at Pact",,Київ (Україна),Full-Time,
