Title,Salary,Location,Employment Type,Link
Trainee python developer,28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVPGop.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Молодший Розробник ПЗ (Junior Software Developer),17 000 - 19 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-rozrobnik-pz-junior-software-developer-IDUjkvX.html
Шукаємо оператора 1С для підтримки обліку,15 000 - 17 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-operatora-1s-dlya-pdtrimki-oblku-IDVxPxR.html
Java розробник (junior),20 000 - 24 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/java-rozrobnik-junior-IDVOlKl.html
Майстер з ремонту комп'ютерної техніки,20 000 - 40 000 грн. / за місяць,"Вінниця, Замостянський","Вінниця, Замостянський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTQqlE.html
Робота в майстерні по ремонту побутової техніки.Навчання.,15 000 - 25 000 грн. / за місяць,Рівне,Рівне,https://www.olx.ua/uk/obyavlenie/rabota/robota-v-maystern-po-remontu-pobutovo-tehnki-navchannya-IDLQCsp.html
Verification Specialist,8 500 - 9 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/verification-specialist-IDV7FTz.html
Системний адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVOo3J.html
Майстер/технік з підключення інтернету (авто — must have),35 000 - 40 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-tehnk-z-pdklyuchennya-nternetu-avto-must-have-IDVOw84.html
Майстер з ремонту комп'ютерів. Майстер з ремонту електроніки,35 000 - 40 000 грн. / за місяць,Кременчук,Кременчук,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterv-mayster-z-remontu-elektronki-IDWLXIM.html
Шукаємо майстра з ремонту електронної техніки,50 000 - 120 000 грн. / за місяць,Дзюби,Дзюби,https://www.olx.ua/uk/obyavlenie/rabota/shukamo-maystra-z-remontu-elektronno-tehnki-IDVNxyD.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за місяць,"Харків, Холодногірський","Харків, Холодногірський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
Онлайн робота/Без досвіду/Щоденна оплата/Перекладачем тексту,500 - 700 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/onlayn-robota-bez-dosvdu-schodenna-oplata-perekladachem-tekstu-IDVR4Tu.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
Компанія Netpeak Group шукає в одеський офіс Provision Engineer,400 - 600 $ / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/kompanya-netpeak-group-shuka-v-odeskiy-ofs-provision-engineer-IDVND5J.html
Технік з обслуговування мережі (власне авто обов’язкове),35 000 - 45 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/tehnk-z-obslugovuvannya-merezh-vlasne-avto-obovyazkove-IDVOuhN.html
Нужен Программист на удалённую работу,900 - 1 300 грн. / за годину,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/nuzhen-programmist-na-udalennuyu-rabotu-IDVOBPG.html
Системний адміністратор,32 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVNjXr.html
Художник комп'ютерної графіки віддалено,550 - 551 $ / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/hudozhnik-kompyuterno-grafki-vddaleno-IDVKLDH.html
"Trainee project-менеджер (не віддалено, Київ)",23 000 - 27 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-project-menedzher-ne-vddaleno-kiv-IDVx9Qc.html
Нужен Комп'ютерний мастер Одесса ( Пересыпский Район),50 000 - 80 000 грн. / за місяць,"Одеса, Пересипський","Одеса, Пересипський",https://www.olx.ua/uk/obyavlenie/rabota/nuzhen-kompyuterniy-master-odessa-peresypskiy-rayon-IDVswbu.html
"Сервисный Мастер по ремонту телевизоров, ноутбуков и др. Электронщик",37 000 - 40 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/servisnyy-master-po-remontu-televizorov-noutbukov-i-dr-elektronschik-IDUFTIv.html
Потрібен Оператор ПК,8 000 - 12 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/potrben-operator-pk-IDVeOAD.html
Junior Android Developer,28 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-android-developer-IDWN13J.html
Ремонт зарядных станций и компьютеров,50 000 - 80 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/remont-zaryadnyh-stantsiy-i-kompyuterov-IDVmIOL.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDWBVQf.html
Відкрита вакансія IT спеціаліст,17 000 - 23 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/vdkrita-vakansya-it-spetsalst-IDVOq7C.html
Системний адміністратор,20 000 - 36 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVOjSp.html
Помічник керівника (чеська\словацька\угорська\польська мова),1 500 - 2 000 $ / за місяць,Ужгород,Ужгород,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-kervnika-cheska-slovatska-ugorska-polska-mova-IDVHfGE.html
В СЦ требуется мастре,35 000 - 50 000 грн. / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/v-sts-trebuetsya-mastre-IDP9XR8.html
Робота в ІТ сфері з ПЕОМ.,10 200 - 12 200 грн. / за місяць,Сміла,Сміла,https://www.olx.ua/uk/obyavlenie/rabota/robota-v-t-sfer-z-peom-IDL9MsZ.html
Фахівець із налаштування мережі інтернет (з власним авто),35 000 - 40 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/fahvets-z-nalashtuvannya-merezh-nternet-z-vlasnim-avto-IDVOuUY.html
Монтажник інтернету (робота з власним авто),35 000 - 40 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-nternetu-robota-z-vlasnim-avto-IDVOuve.html
"Майстер, інженер з ремонту ноутбуків",20 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/mayster-nzhener-z-remontu-noutbukv-IDVKQ59.html
Требуется мастер Бытовой техники. Инженер,25 000 - 52 000 грн. / за місяць,Інженерний,Інженерний,https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-master-bytovoy-tehniki-inzhener-IDvI3fc.html
UAinet шукає технічного спеціаліста,,Ковель,Ковель,https://www.olx.ua/uk/obyavlenie/rabota/uainet-shuka-tehnchnogo-spetsalsta-IDV3ZKS.html
Робота Інженер з експлуатації первинної мережі (з бронюванням),,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/robota-nzhener-z-ekspluatats-pervinno-merezh-z-bronyuvannyam-IDVCKMj.html
Онлайн робота/Без досвіду/Щоденна оплата/Перекладачем тексту,500 - 700 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/onlayn-robota-bez-dosvdu-schodenna-oplata-perekladachem-tekstu-IDVR4Tu.html
Терміново Системний адміністратор,30 000 - 40 000 грн. / за місяць,"Кропивницький, Фортечний","Кропивницький, Фортечний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPNyT.html
Монтажник слаботочных систем (электротехник),18 000 - 32 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-slabotochnyh-sistem-elektrotehnik-IDVMgbD.html
Тестувальник ігор,15 000 - 25 000 грн. / за місяць,"Львів, Залізничний","Львів, Залізничний",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-gor-IDVMu1G.html
Тестування мобільної гри Android,1 - 50 грн. / за годину,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/testuvannya-moblno-gri-android-IDVLPMP.html
Збиральник ПК (Київ),23 000 - 26 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/zbiralnik-pk-kiv-IDVdmsX.html
Системний адміністратор,54 000 - 100 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVKGla.html
Тестирование мобильной игры на ios,200 - 600 грн. / за годину,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/testirovanie-mobilnoy-igry-na-ios-IDVKuYN.html
Шукаємо комп'ютерного майстра до нашої команди!,40 000 грн. / за місяць,"Одеса, Пересипський","Одеса, Пересипський",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-kompyuternogo-maystra-do-nasho-komandi-IDVLL5w.html
Оператор комп'ютера на оптову базу,12 000 - 12 001 грн. / за місяць,Херсон,Херсон,https://www.olx.ua/uk/obyavlenie/rabota/operator-kompyutera-na-optovu-bazu-IDVLbew.html
Front-end розробник,,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/front-end-rozrobnik-IDVflKV.html
Молодший системний адміністратор,26 000 - 32 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/molodshiy-sistemniy-admnstrator-IDVeUrn.html
Збиральник Ігрових ПК,25 000 - 27 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/zbiralnik-grovih-pk-IDVKVEK.html
Терміново Системний Адміністратор,30 000 - 50 000 грн. / за місяць,Умань,Умань,https://www.olx.ua/uk/obyavlenie/rabota/termnovo-sistemniy-admnstrator-IDVPdkR.html
Терміново потрібен ІТ спеціаліст,80 000 - 100 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-potrben-t-spetsalst-IDVHL4H.html
Майстер по ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-kompyuterno-tehnki-IDTwi7S.html
Тестувальник ігор,15 000 - 25 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-gor-IDVMtHf.html
Trainee Front-End Developer,28 000 - 34 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVdUm8.html
Тестувальник ПЗ (без досвіду),27 000 - 35 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-pz-bez-dosvdu-IDWiQLa.html
Віддалена робота Спеціаліст з обробки фото та відео (анотатор),8 000 - 16 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/vddalena-robota-spetsalst-z-obrobki-foto-ta-vdeo-anotator-IDVLG2D.html
Trainee QA Engineer,700 - 800 $ / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-qa-engineer-IDVLiUT.html
Оператор 1С (денні зміни),20 000 - 22 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/operator-1s-denn-zmni-IDVMbY2.html
Web-дизайнер (З навчанням),25 000 - 30 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/web-dizayner-z-navchannyam-IDWv7cX.html
Помічник відеомонтажера,24 000 - 28 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-vdeomontazhera-IDVKVxp.html
Junior C# Developer,30 000 - 33 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-c-developer-IDWI8cC.html
Фармер акаунтів (стажер),18 000 - 25 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/farmer-akauntv-stazher-IDUBK7Y.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTna38.html
Майстр по ремонту принтерів та ПК,20 000 - 25 000 грн. / за місяць,"Кривий Ріг, Центрально-Міський","Кривий Ріг, Центрально-Міський",https://www.olx.ua/uk/obyavlenie/rabota/maystr-po-remontu-printerv-ta-pk-IDVdl5O.html
3D artist junior,28 000 - 33 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/3d-artist-junior-IDWveEJ.html
Системний адміністратор,38 000 - 40 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVKI3a.html
Майстер з ремонту Комп'ютерів,20 000 - 40 000 грн. / за місяць,Хмельницький,Хмельницький,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterv-IDVJVU9.html
Системний Адміністратор,25 000 - 40 000 грн. / за місяць,"Кропивницький, Подільський","Кропивницький, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-IDVLQDX.html
Всі свої (український бренд) в пошуку співробітників,20 000 - 25 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/vs-svo-ukranskiy-brend-v-poshuku-spvrobtnikv-IDVMlfj.html
Комп`ютерний майстер для передпродажної підготовки ноутбуків,10 000 - 30 000 грн. / за місяць,Кам'янець-Подільський,Кам'янець-Подільський,https://www.olx.ua/uk/obyavlenie/rabota/kompyuterniy-mayster-dlya-peredprodazhno-pdgotovki-noutbukv-IDQQxu8.html
Помічник системного адміністратора,19 000 - 20 000 грн. / за місяць,"Кривий Ріг, Металургійний","Кривий Ріг, Металургійний",https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-sistemnogo-admnstratora-IDWEh50.html
ТЕРМІНОВО шукаємо системного адміністратора,20 000 - 35 000 грн. / за місяць,"Вінниця, Замостянський","Вінниця, Замостянський",https://www.olx.ua/uk/obyavlenie/rabota/termnovo-shukamo-sistemnogo-admnstratora-IDVKItB.html
Системний Адміністратор (IT),25 000 - 35 000 грн. / за місяць,Хмельницький,Хмельницький,https://www.olx.ua/uk/obyavlenie/rabota/sistemniy-admnstrator-it-IDVJCzj.html
Мастер по ремонту бытовой техники.,15 000 - 40 000 грн. / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/master-po-remontu-bytovoy-tehniki-IDQivJF.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDWBVQf.html
Требуется монтажер видео в Capcut,14 000 - 18 000 грн. / за місяць,"Харків, Холодногірський","Харків, Холодногірський",https://www.olx.ua/uk/obyavlenie/rabota/trebuetsya-montazher-video-v-capcut-IDVKuPX.html
Ремонт зарядных станций и компьютеров,50 000 - 80 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/remont-zaryadnyh-stantsiy-i-kompyuterov-IDVmIOL.html
Майстер з ремонту мобільних телефонів,16 000 - 40 000 грн. / за місяць,Бровари,Бровари,https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-moblnih-telefonv-IDVMONh.html
Майстер по ремонту технiки,40 000 - 80 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-tehniki-IDVmvCr.html
Майстер з обслуговування мережі інтернет,20 000 - 30 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-obslugovuvannya-merezh-nternet-IDTvV3d.html
Проєктувальник (можливо без досвіду роботи),15 000 - 19 000 грн. / за місяць,"Харків, Немишлянський","Харків, Немишлянський",https://www.olx.ua/uk/obyavlenie/rabota/proktuvalnik-mozhlivo-bez-dosvdu-roboti-IDVIkNa.html
Професійний media buyer,,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/profesyniy-media-buyer-IDVLSfL.html
Tilda-верстальник,26 000 - 32 000 грн. / за місяць,"Київ, Подільський","Київ, Подільський",https://www.olx.ua/uk/obyavlenie/rabota/tilda-verstalnik-IDVKVgB.html
Монтажник интернет и кабельного телевидения,25 000 - 30 000 грн. / за місяць,"Одеса, Київський","Одеса, Київський",https://www.olx.ua/uk/obyavlenie/rabota/montazhnik-internet-i-kabelnogo-televideniya-IDTY8K5.html
"Iнженер технічної підтримки., Support Engineer",15 000 - 25 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/inzhener-tehnchno-pdtrimki-support-engineer-IDUnhsc.html
Майстер з ремонту кондиціонерів (кондиціонерщик),50 000 - 100 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-konditsonerv-konditsonerschik-IDUUKxV.html
На роботу запрошується спеціаліст з ремонтів ноутбуків та телевізорів,8 000 - 15 000 грн. / за місяць,Павлоград,Павлоград,https://www.olx.ua/uk/obyavlenie/rabota/na-robotu-zaproshutsya-spetsalst-z-remontv-noutbukv-ta-televzorv-IDVJrA6.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Кривий Ріг, Саксаганський","Кривий Ріг, Саксаганський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTn5gp.html
Оператори в комп'ютерний клуб(м.Запоріжжя),12 500 - 17 000 грн. / за місяць,"Запоріжжя, Вознесенівський","Запоріжжя, Вознесенівський",https://www.olx.ua/uk/obyavlenie/rabota/operatori-v-kompyuterniy-klubm-zaporzhzhya-IDWjgDh.html
Помічник ASO-спеціаліста(без досвіду),500 - 501 $ / за місяць,Сміла,Сміла,https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-aso-spetsalstabez-dosvdu-IDVOTUA.html
Trainee Front-end develoepr,23 000 - 26 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-develoepr-IDVdm1V.html
Арбитраж трафика на телеграмм канал,1 000 - 10 000 грн. / за місяць,Уклін,Уклін,https://www.olx.ua/uk/obyavlenie/rabota/arbitrazh-trafika-na-telegramm-kanal-IDVKs7v.html
UI/UX designer (стажер),29 000 - 34 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/ui-ux-designer-stazher-IDVIibv.html
Junior Cloud Specialist (з навчанням),24 000 - 27 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/junior-cloud-specialist-z-navchannyam-IDVsS0b.html
Junior front-end developer,35 000 - 45 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-developer-IDWY5Hv.html
Trainee Python-developer,24 000 - 27 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-python-developer-IDVdkYr.html
Робота Адміністратор у VR,12 000 - 20 000 грн. / за місяць,Рівне,Рівне,https://www.olx.ua/uk/obyavlenie/rabota/robota-admnstrator-u-vr-IDVJe3o.html
Тестувальника ігор,15 000 - 25 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnika-gor-IDVIUgJ.html
Trainee UX/UI designer,23 000 - 26 000 грн. / за місяць,"Київ, Голосіївський","Київ, Голосіївський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-ux-ui-designer-IDVdlxP.html
работа по обслуживанию ПК.,40 000 - 50 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/rabota-po-obsluzhivaniyu-pk-IDV9TGL.html
Майстер з ремонту комп'ютерної техніки,22 000 - 50 000 грн. / за місяць,"Дніпро, Центральний","Дніпро, Центральний",https://www.olx.ua/uk/obyavlenie/rabota/mayster-z-remontu-kompyuterno-tehnki-IDTna38.html
Работа в популярных компьютерных играх.,10 000 - 25 000 грн. / за місяць,"Львів, Галицький","Львів, Галицький",https://www.olx.ua/uk/obyavlenie/rabota/rabota-v-populyarnyh-kompyuternyh-igrah-IDTEEqT.html
"Шукаємо на посаду Програміст, web-дизайнер (PR, SEO, SM)",15 000 - 30 000 грн. / за місяць,"Київ, Дарницький","Київ, Дарницький",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-na-posadu-programst-web-dizayner-pr-seo-sm-IDNusow.html
Помічник дизайнера (UI\UX-Designer),28 000 - 34 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/pomchnik-dizaynera-ui-ux-designer-IDVtjAw.html
Требуються програмисты PHP/ C++/ python/ C#/ JS/HTML,40 000 - 50 000 грн. / за місяць,"Київ, Оболонський","Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/rabota/trebuyutsya-programisty-php-c-python-c-js-html-IDVKnXP.html
Junior Project Manager,29 000 - 37 000 грн. / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/junior-project-manager-IDVdUFo.html
Тестувальник ігор,15 000 - 25 000 грн. / за місяць,"Львів, Личаківський","Львів, Личаківський",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-gor-IDVhExY.html
Тестувальник ПЗ (без досвіду),32 000 - 35 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-pz-bez-dosvdu-IDWm90Q.html
Шукаємо графічного дизайнера,400 $ / за місяць,"Одеса, Приморський","Одеса, Приморський",https://www.olx.ua/uk/obyavlenie/rabota/shukamo-grafchnogo-dizaynera-IDVIeFE.html
Trainee Front-End Developer,25 000 - 28 000 грн. / за місяць,"Київ, Солом'янський","Київ, Солом'янський",https://www.olx.ua/uk/obyavlenie/rabota/trainee-front-end-developer-IDVKrli.html
Майстер по ремонту телефонів,15 000 - 35 000 грн. / за місяць,"Київ, Святошинський","Київ, Святошинський",https://www.olx.ua/uk/obyavlenie/rabota/mayster-po-remontu-telefonv-IDVKdTi.html
Тестувальник мобільних ігор (junior),20 000 - 25 000 грн. / за місяць,"Київ, Печерський","Київ, Печерський",https://www.olx.ua/uk/obyavlenie/rabota/testuvalnik-moblnih-gor-junior-IDVbhbu.html
Junior Front-end Web developer,26 000 - 30 000 грн. / за місяць,"Київ, Оболонський","Київ, Оболонський",https://www.olx.ua/uk/obyavlenie/rabota/junior-front-end-web-developer-IDVsqBy.html
Профессиональная команда в поиске специалиста в IT сфере,2 000 - 3 000 $ / за місяць,"Київ, Шевченківський","Київ, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/professionalnaya-komanda-v-poiske-spetsialista-v-it-sfere-IDVRBUm.html
Провідний майстер з ремонту техніки (мультибренд),40 000 - 60 000 грн. / за місяць,"Львів, Шевченківський","Львів, Шевченківський",https://www.olx.ua/uk/obyavlenie/rabota/provdniy-mayster-z-remontu-tehnki-multibrend-IDVHdZ4.html
Вакансія рекрутера — потрібні відповідальні люди,20 000 - 30 000 грн. / за місяць,Чернігів,Чернігів,https://www.olx.ua/uk/obyavlenie/rabota/vakansya-rekrutera-potrbn-vdpovdaln-lyudi-IDVKYjH.html
